service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#27_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#27_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#27_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#27_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#27_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#28_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#28_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#28_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#28_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#28_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#29_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#29_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#29_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#29_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#29_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#3_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#30_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#30_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#30_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#30_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#30_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#31_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#31_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#31_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#31_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#31_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#32_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#32_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#32_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#32_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#32_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#33_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#33_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#33_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#33_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#33_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#34_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#34_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#34_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#34_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#34_2015-07-14T13:06:47_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
